split,image_id,label_file,modalities,added,removed,modified,classes_affected,change_types,verification_statuses,note
test,00044,test/00044.txt,IR|RGB,0,0,4,car,OBB_adjustment:4,needs_review:4,file-level summary aggregated from instance-level refinement records
test,00045,test/00045.txt,IR,0,0,2,car,OBB_adjustment:2,auto_high_confidence:1;needs_review:1,file-level summary aggregated from instance-level refinement records
test,00046,test/00046.txt,IR|RGB,0,0,3,car,OBB_adjustment:3,needs_review:3,file-level summary aggregated from instance-level refinement records
test,00047,test/00047.txt,IR,1,1,8,car|truck|van,OBB_adjustment:5;addition:1;category_correction:3;removal:1,auto_high_confidence:4;needs_review:6,file-level summary aggregated from instance-level refinement records
test,00048,test/00048.txt,IR,0,0,2,car|freight_car|truck,OBB_adjustment:1;category_correction:1,auto_high_confidence:1;needs_review:1,file-level summary aggregated from instance-level refinement records
test,00049,test/00049.txt,IR|RGB,0,0,8,car,OBB_adjustment:8,auto_high_confidence:2;needs_review:6,file-level summary aggregated from instance-level refinement records
test,00050,test/00050.txt,IR|RGB,0,0,4,car|van,OBB_adjustment:2;category_correction:2,auto_high_confidence:2;needs_review:2,file-level summary aggregated from instance-level refinement records
test,00051,test/00051.txt,IR,0,0,5,car|van,OBB_adjustment:2;category_correction:3,auto_high_confidence:3;needs_review:2,file-level summary aggregated from instance-level refinement records
test,00052,test/00052.txt,IR,0,0,2,car,OBB_adjustment:2,needs_review:2,file-level summary aggregated from instance-level refinement records
test,00053,test/00053.txt,IR|RGB,0,0,4,car,OBB_adjustment:4,auto_high_confidence:2;needs_review:2,file-level summary aggregated from instance-level refinement records
test,00054,test/00054.txt,IR,0,0,4,car|freight_car,OBB_adjustment:3;category_correction:1,auto_high_confidence:1;needs_review:3,file-level summary aggregated from instance-level refinement records
test,00055,test/00055.txt,IR,0,0,1,bus|van,category_correction:1,auto_high_confidence:1,file-level summary aggregated from instance-level refinement records
test,00057,test/00057.txt,IR|RGB,0,0,8,car|freight_car|truck|van,OBB_adjustment:4;category_correction:4,auto_high_confidence:4;needs_review:4,file-level summary aggregated from instance-level refinement records
test,00058,test/00058.txt,IR,0,0,4,car,OBB_adjustment:4,needs_review:4,file-level summary aggregated from instance-level refinement records
test,00059,test/00059.txt,IR|RGB,0,0,6,car|van,OBB_adjustment:3;category_correction:2;category_correction+OBB_adjustment:1,auto_high_confidence:2;needs_review:4,file-level summary aggregated from instance-level refinement records
test,00060,test/00060.txt,IR,0,0,1,car,OBB_adjustment:1,needs_review:1,file-level summary aggregated from instance-level refinement records
test,00061,test/00061.txt,IR,0,0,1,car|truck,category_correction:1,auto_high_confidence:1,file-level summary aggregated from instance-level refinement records
test,00062,test/00062.txt,IR,0,0,1,car,OBB_adjustment:1,needs_review:1,file-level summary aggregated from instance-level refinement records
test,00063,test/00063.txt,IR,0,0,1,car,OBB_adjustment:1,needs_review:1,file-level summary aggregated from instance-level refinement records
test,00064,test/00064.txt,IR,0,0,2,car,OBB_adjustment:2,needs_review:2,file-level summary aggregated from instance-level refinement records
test,00065,test/00065.txt,IR|RGB,0,0,2,car,OBB_adjustment:2,needs_review:2,file-level summary aggregated from instance-level refinement records
test,00066,test/00066.txt,IR,0,0,3,car,OBB_adjustment:3,needs_review:3,file-level summary aggregated from instance-level refinement records
test,00068,test/00068.txt,IR,0,0,1,car,OBB_adjustment:1,auto_high_confidence:1,file-level summary aggregated from instance-level refinement records
test,00069,test/00069.txt,IR,0,0,1,freight_car|truck,category_correction:1,auto_high_confidence:1,file-level summary aggregated from instance-level refinement records
test,00070,test/00070.txt,IR,0,0,1,car,OBB_adjustment:1,needs_review:1,file-level summary aggregated from instance-level refinement records
test,00071,test/00071.txt,IR|RGB,0,0,3,car,OBB_adjustment:3,needs_review:3,file-level summary aggregated from instance-level refinement records
test,00072,test/00072.txt,IR|RGB,0,0,3,car,OBB_adjustment:3,needs_review:3,file-level summary aggregated from instance-level refinement records
test,00073,test/00073.txt,IR,0,0,2,car|van,OBB_adjustment:1;category_correction:1,auto_high_confidence:1;needs_review:1,file-level summary aggregated from instance-level refinement records
test,00074,test/00074.txt,IR,0,0,2,car|van,OBB_adjustment:1;category_correction:1,auto_high_confidence:1;needs_review:1,file-level summary aggregated from instance-level refinement records
test,00075,test/00075.txt,IR|RGB,0,0,5,car|van,OBB_adjustment:1;category_correction:4,auto_high_confidence:4;needs_review:1,file-level summary aggregated from instance-level refinement records
test,00076,test/00076.txt,IR,0,0,3,car|van,OBB_adjustment:1;category_correction:2,auto_high_confidence:2;needs_review:1,file-level summary aggregated from instance-level refinement records
test,00077,test/00077.txt,IR,0,0,18,car|freight_car|van,OBB_adjustment:14;category_correction:3;category_correction+OBB_adjustment:1,auto_high_confidence:5;needs_review:13,file-level summary aggregated from instance-level refinement records
test,00078,test/00078.txt,IR,0,0,2,car,OBB_adjustment:2,auto_high_confidence:1;needs_review:1,file-level summary aggregated from instance-level refinement records
test,00080,test/00080.txt,IR|RGB,0,0,10,car,OBB_adjustment:10,auto_high_confidence:2;needs_review:8,file-level summary aggregated from instance-level refinement records
test,00081,test/00081.txt,IR|RGB,0,0,7,car|van,OBB_adjustment:5;category_correction:2,auto_high_confidence:2;needs_review:5,file-level summary aggregated from instance-level refinement records
test,00082,test/00082.txt,IR,0,0,1,car|van,category_correction:1,auto_high_confidence:1,file-level summary aggregated from instance-level refinement records
test,00083,test/00083.txt,IR,0,0,3,car|freight_car|truck|van,OBB_adjustment:1;category_correction:2,auto_high_confidence:2;needs_review:1,file-level summary aggregated from instance-level refinement records
test,00084,test/00084.txt,IR,0,0,2,car,OBB_adjustment:2,needs_review:2,file-level summary aggregated from instance-level refinement records
test,00085,test/00085.txt,IR,0,0,3,car,OBB_adjustment:3,needs_review:3,file-level summary aggregated from instance-level refinement records
test,00086,test/00086.txt,IR,0,0,1,car,OBB_adjustment:1,auto_high_confidence:1,file-level summary aggregated from instance-level refinement records
test,00087,test/00087.txt,IR,0,0,7,car,OBB_adjustment:7,auto_high_confidence:3;needs_review:4,file-level summary aggregated from instance-level refinement records
test,00088,test/00088.txt,IR|RGB,0,0,3,car,OBB_adjustment:3,auto_high_confidence:3,file-level summary aggregated from instance-level refinement records
test,00091,test/00091.txt,IR|RGB,0,0,5,car|freight_car|truck,OBB_adjustment:2;category_correction:3,auto_high_confidence:3;needs_review:2,file-level summary aggregated from instance-level refinement records
test,00092,test/00092.txt,IR|RGB,0,0,5,car|freight_car|truck,OBB_adjustment:2;category_correction:3,auto_high_confidence:3;needs_review:2,file-level summary aggregated from instance-level refinement records
test,00093,test/00093.txt,IR,0,0,1,freight_car|truck,category_correction:1,auto_high_confidence:1,file-level summary aggregated from instance-level refinement records
test,00094,test/00094.txt,IR,0,0,13,car|freight_car|truck|van,OBB_adjustment:10;category_correction:3,auto_high_confidence:4;needs_review:9,file-level summary aggregated from instance-level refinement records
test,00095,test/00095.txt,IR,0,0,6,car|van,OBB_adjustment:5;category_correction:1,auto_high_confidence:1;needs_review:5,file-level summary aggregated from instance-level refinement records
test,00096,test/00096.txt,IR,0,0,9,car|freight_car|truck|van,OBB_adjustment:6;category_correction:3,auto_high_confidence:6;needs_review:3,file-level summary aggregated from instance-level refinement records
test,00097,test/00097.txt,IR,0,0,6,car|freight_car|truck,OBB_adjustment:4;category_correction+OBB_adjustment:2,auto_high_confidence:1;needs_review:5,file-level summary aggregated from instance-level refinement records
test,00099,test/00099.txt,IR,0,0,3,car,OBB_adjustment:3,auto_high_confidence:1;needs_review:2,file-level summary aggregated from instance-level refinement records
test,00100,test/00100.txt,IR|RGB,0,0,4,car|van,category_correction:4,auto_high_confidence:4,file-level summary aggregated from instance-level refinement records
test,00101,test/00101.txt,IR|RGB,0,0,6,car|van,OBB_adjustment:2;category_correction:4,auto_high_confidence:4;needs_review:2,file-level summary aggregated from instance-level refinement records
test,00102,test/00102.txt,IR,0,0,5,car|van,OBB_adjustment:4;category_correction:1,auto_high_confidence:1;needs_review:4,file-level summary aggregated from instance-level refinement records
test,00103,test/00103.txt,IR,0,0,12,car|freight_car|van,OBB_adjustment:10;category_correction:2,auto_high_confidence:6;needs_review:6,file-level summary aggregated from instance-level refinement records
test,00104,test/00104.txt,IR,0,0,1,car,OBB_adjustment:1,auto_high_confidence:1,file-level summary aggregated from instance-level refinement records
test,00105,test/00105.txt,IR,0,0,4,car,OBB_adjustment:4,auto_high_confidence:1;needs_review:3,file-level summary aggregated from instance-level refinement records
test,00106,test/00106.txt,IR|RGB,0,0,6,car,OBB_adjustment:6,needs_review:6,file-level summary aggregated from instance-level refinement records
test,00107,test/00107.txt,IR|RGB,0,0,10,car|freight_car|truck|van,OBB_adjustment:1;category_correction:8;category_correction+OBB_adjustment:1,auto_high_confidence:9;needs_review:1,file-level summary aggregated from instance-level refinement records
test,00108,test/00108.txt,IR|RGB,0,0,29,car|van,OBB_adjustment:12;category_correction:7;category_correction+OBB_adjustment:10,auto_high_confidence:8;needs_review:21,file-level summary aggregated from instance-level refinement records
test,00109,test/00109.txt,IR|RGB,2,2,20,car|van,OBB_adjustment:6;addition:2;category_correction:12;category_correction+OBB_adjustment:2;removal:2,auto_high_confidence:14;needs_review:10,file-level summary aggregated from instance-level refinement records
test,00110,test/00110.txt,IR|RGB,2,2,14,car|van,OBB_adjustment:10;addition:2;category_correction:4;removal:2,auto_high_confidence:6;needs_review:12,file-level summary aggregated from instance-level refinement records
test,00111,test/00111.txt,IR|RGB,0,0,18,car|van,OBB_adjustment:12;category_correction:2;category_correction+OBB_adjustment:4,auto_high_confidence:6;needs_review:12,file-level summary aggregated from instance-level refinement records
test,00112,test/00112.txt,IR|RGB,0,0,4,car|van,category_correction:2;category_correction+OBB_adjustment:2,auto_high_confidence:2;needs_review:2,file-level summary aggregated from instance-level refinement records
test,00113,test/00113.txt,IR|RGB,0,0,6,car|freight_car|truck|van,category_correction:4;category_correction+OBB_adjustment:2,auto_high_confidence:4;needs_review:2,file-level summary aggregated from instance-level refinement records
test,00114,test/00114.txt,IR|RGB,1,1,16,car|freight_car|van,OBB_adjustment:8;addition:1;category_correction:7;category_correction+OBB_adjustment:1;removal:1,auto_high_confidence:12;needs_review:6,file-level summary aggregated from instance-level refinement records
test,00115,test/00115.txt,IR|RGB,2,2,22,car|freight_car|truck|van,OBB_adjustment:4;addition:2;category_correction:16;category_correction+OBB_adjustment:2;removal:2,auto_high_confidence:16;needs_review:10,file-level summary aggregated from instance-level refinement records
test,00116,test/00116.txt,IR|RGB,1,1,18,car|freight_car|truck|van,OBB_adjustment:6;addition:1;category_correction:12;removal:1,auto_high_confidence:14;needs_review:6,file-level summary aggregated from instance-level refinement records
test,00117,test/00117.txt,IR|RGB,0,0,16,car|freight_car|truck|van,OBB_adjustment:2;category_correction:12;category_correction+OBB_adjustment:2,auto_high_confidence:12;needs_review:4,file-level summary aggregated from instance-level refinement records
test,00118,test/00118.txt,IR|RGB,0,0,6,car|van,OBB_adjustment:4;category_correction:2,auto_high_confidence:2;needs_review:4,file-level summary aggregated from instance-level refinement records
test,00119,test/00119.txt,IR|RGB,0,0,10,car|van,category_correction:8;category_correction+OBB_adjustment:2,auto_high_confidence:8;needs_review:2,file-level summary aggregated from instance-level refinement records
test,00120,test/00120.txt,IR|RGB,0,0,4,car|freight_car|truck|van,category_correction:2;category_correction+OBB_adjustment:2,auto_high_confidence:2;needs_review:2,file-level summary aggregated from instance-level refinement records
test,00121,test/00121.txt,IR|RGB,0,0,6,car|freight_car|van,OBB_adjustment:4;category_correction:2,auto_high_confidence:2;needs_review:4,file-level summary aggregated from instance-level refinement records
test,00122,test/00122.txt,IR|RGB,0,0,8,bus|car|van,OBB_adjustment:6;category_correction:2,auto_high_confidence:2;needs_review:6,file-level summary aggregated from instance-level refinement records
test,00123,test/00123.txt,IR|RGB,0,0,5,bus|car|van,OBB_adjustment:3;category_correction:2,auto_high_confidence:2;needs_review:3,file-level summary aggregated from instance-level refinement records
test,00124,test/00124.txt,IR|RGB,1,1,4,car,OBB_adjustment:4;addition:1;removal:1,needs_review:6,file-level summary aggregated from instance-level refinement records
test,00125,test/00125.txt,IR|RGB,0,0,8,car|freight_car,OBB_adjustment:8,needs_review:8,file-level summary aggregated from instance-level refinement records
test,00126,test/00126.txt,IR|RGB,0,0,2,car,OBB_adjustment:2,needs_review:2,file-level summary aggregated from instance-level refinement records
test,00127,test/00127.txt,IR|RGB,0,0,2,car,OBB_adjustment:2,needs_review:2,file-level summary aggregated from instance-level refinement records
test,00128,test/00128.txt,IR|RGB,0,0,2,car,OBB_adjustment:2,needs_review:2,file-level summary aggregated from instance-level refinement records
test,00129,test/00129.txt,IR|RGB,0,0,2,car,OBB_adjustment:2,needs_review:2,file-level summary aggregated from instance-level refinement records
test,00130,test/00130.txt,IR|RGB,0,0,2,car,OBB_adjustment:2,needs_review:2,file-level summary aggregated from instance-level refinement records
test,00131,test/00131.txt,IR|RGB,0,0,2,car,OBB_adjustment:2,needs_review:2,file-level summary aggregated from instance-level refinement records
test,00132,test/00132.txt,IR|RGB,0,0,3,car|freight_car,OBB_adjustment:3,auto_high_confidence:1;needs_review:2,file-level summary aggregated from instance-level refinement records
test,00135,test/00135.txt,IR|RGB,0,0,4,car|freight_car|van,OBB_adjustment:2;category_correction:2,auto_high_confidence:2;needs_review:2,file-level summary aggregated from instance-level refinement records
test,00136,test/00136.txt,IR|RGB,0,0,2,bus,OBB_adjustment:2,needs_review:2,file-level summary aggregated from instance-level refinement records
test,00137,test/00137.txt,IR|RGB,0,0,4,car,OBB_adjustment:4,needs_review:4,file-level summary aggregated from instance-level refinement records
test,00138,test/00138.txt,IR|RGB,0,0,4,car,OBB_adjustment:4,needs_review:4,file-level summary aggregated from instance-level refinement records
test,00139,test/00139.txt,IR|RGB,0,0,6,car,OBB_adjustment:6,needs_review:6,file-level summary aggregated from instance-level refinement records
test,00140,test/00140.txt,IR|RGB,0,0,4,bus|car,OBB_adjustment:4,needs_review:4,file-level summary aggregated from instance-level refinement records
test,00141,test/00141.txt,IR|RGB,0,0,8,car|freight_car|truck|van,OBB_adjustment:4;category_correction:4,auto_high_confidence:4;needs_review:4,file-level summary aggregated from instance-level refinement records
test,00142,test/00142.txt,IR|RGB,0,0,4,car|truck,OBB_adjustment:4,needs_review:4,file-level summary aggregated from instance-level refinement records
test,00143,test/00143.txt,IR|RGB,0,0,4,car,OBB_adjustment:4,needs_review:4,file-level summary aggregated from instance-level refinement records
test,00144,test/00144.txt,IR|RGB,3,3,7,car|van,OBB_adjustment:5;addition:3;category_correction:2;removal:3,auto_high_confidence:2;needs_review:11,file-level summary aggregated from instance-level refinement records
test,00145,test/00145.txt,IR|RGB,1,1,10,car|van,OBB_adjustment:3;addition:1;category_correction:7;removal:1,auto_high_confidence:8;needs_review:4,file-level summary aggregated from instance-level refinement records
test,00146,test/00146.txt,IR|RGB,0,0,9,car|van,OBB_adjustment:1;category_correction:8,auto_high_confidence:8;needs_review:1,file-level summary aggregated from instance-level refinement records
test,00147,test/00147.txt,IR|RGB,0,0,12,car|van,OBB_adjustment:1;category_correction:11,auto_high_confidence:11;needs_review:1,file-level summary aggregated from instance-level refinement records
test,00148,test/00148.txt,IR|RGB,0,0,8,car|van,OBB_adjustment:2;category_correction:6,auto_high_confidence:7;needs_review:1,file-level summary aggregated from instance-level refinement records
test,00149,test/00149.txt,IR|RGB,0,0,8,car|van,category_correction:8,auto_high_confidence:8,file-level summary aggregated from instance-level refinement records
test,00150,test/00150.txt,IR|RGB,0,0,4,car|van,category_correction:2;category_correction+OBB_adjustment:2,auto_high_confidence:2;needs_review:2,file-level summary aggregated from instance-level refinement records
test,00151,test/00151.txt,IR|RGB,0,0,7,car|van,category_correction:7,auto_high_confidence:7,file-level summary aggregated from instance-level refinement records
test,00155,test/00155.txt,IR|RGB,1,1,3,car,OBB_adjustment:3;addition:1;removal:1,needs_review:5,file-level summary aggregated from instance-level refinement records
test,00156,test/00156.txt,IR|RGB,0,0,2,car,OBB_adjustment:2,needs_review:2,file-level summary aggregated from instance-level refinement records
test,00157,test/00157.txt,RGB,0,0,1,car,OBB_adjustment:1,needs_review:1,file-level summary aggregated from instance-level refinement records
test,00158,test/00158.txt,IR|RGB,0,0,4,car,OBB_adjustment:4,needs_review:4,file-level summary aggregated from instance-level refinement records
test,00159,test/00159.txt,IR|RGB,0,0,2,car,OBB_adjustment:2,auto_high_confidence:1;needs_review:1,file-level summary aggregated from instance-level refinement records
test,00160,test/00160.txt,IR|RGB,0,0,2,car|van,category_correction:2,auto_high_confidence:2,file-level summary aggregated from instance-level refinement records
test,00161,test/00161.txt,IR,0,0,1,car,OBB_adjustment:1,auto_high_confidence:1,file-level summary aggregated from instance-level refinement records
test,00164,test/00164.txt,IR|RGB,0,0,2,car,OBB_adjustment:2,auto_high_confidence:1;needs_review:1,file-level summary aggregated from instance-level refinement records
test,00165,test/00165.txt,IR|RGB,0,0,3,car,OBB_adjustment:3,needs_review:3,file-level summary aggregated from instance-level refinement records
test,00168,test/00168.txt,IR|RGB,0,0,2,car,OBB_adjustment:2,needs_review:2,file-level summary aggregated from instance-level refinement records
test,00170,test/00170.txt,IR|RGB,0,0,4,car,OBB_adjustment:4,needs_review:4,file-level summary aggregated from instance-level refinement records
test,00171,test/00171.txt,IR|RGB,0,0,4,car,OBB_adjustment:4,needs_review:4,file-level summary aggregated from instance-level refinement records
test,00172,test/00172.txt,IR|RGB,1,1,1,car,OBB_adjustment:1;addition:1;removal:1,needs_review:3,file-level summary aggregated from instance-level refinement records
test,00173,test/00173.txt,IR|RGB,0,0,2,car,OBB_adjustment:2,auto_high_confidence:2,file-level summary aggregated from instance-level refinement records
test,00177,test/00177.txt,IR|RGB,1,1,4,car|truck,OBB_adjustment:4;addition:1;removal:1,needs_review:6,file-level summary aggregated from instance-level refinement records
test,00179,test/00179.txt,IR|RGB,0,0,4,car|van,OBB_adjustment:2;category_correction:2,auto_high_confidence:2;needs_review:2,file-level summary aggregated from instance-level refinement records
test,00180,test/00180.txt,IR|RGB,0,0,10,car|van,OBB_adjustment:8;category_correction:2,auto_high_confidence:2;needs_review:8,file-level summary aggregated from instance-level refinement records
test,00181,test/00181.txt,IR,0,0,1,car,OBB_adjustment:1,needs_review:1,file-level summary aggregated from instance-level refinement records
test,00182,test/00182.txt,IR|RGB,0,0,6,car,OBB_adjustment:6,auto_high_confidence:2;needs_review:4,file-level summary aggregated from instance-level refinement records
test,00187,test/00187.txt,IR|RGB,0,0,2,car,OBB_adjustment:2,needs_review:2,file-level summary aggregated from instance-level refinement records
test,00188,test/00188.txt,IR|RGB,0,0,4,car,OBB_adjustment:4,auto_high_confidence:2;needs_review:2,file-level summary aggregated from instance-level refinement records
test,00189,test/00189.txt,IR|RGB,0,0,2,car|van,category_correction:2,auto_high_confidence:2,file-level summary aggregated from instance-level refinement records
test,00190,test/00190.txt,IR|RGB,0,0,2,car,OBB_adjustment:2,auto_high_confidence:2,file-level summary aggregated from instance-level refinement records
test,00191,test/00191.txt,RGB,0,0,1,car,OBB_adjustment:1,needs_review:1,file-level summary aggregated from instance-level refinement records
test,00194,test/00194.txt,IR|RGB,0,0,6,car|van,OBB_adjustment:4;category_correction:2,auto_high_confidence:2;needs_review:4,file-level summary aggregated from instance-level refinement records
test,00195,test/00195.txt,IR|RGB,0,0,2,car|van,category_correction:2,auto_high_confidence:2,file-level summary aggregated from instance-level refinement records
test,00196,test/00196.txt,IR|RGB,0,0,4,car|van,OBB_adjustment:2;category_correction:2,auto_high_confidence:2;needs_review:2,file-level summary aggregated from instance-level refinement records
test,00197,test/00197.txt,IR|RGB,0,0,4,car,OBB_adjustment:4,needs_review:4,file-level summary aggregated from instance-level refinement records
test,00198,test/00198.txt,IR|RGB,0,0,3,car|van,OBB_adjustment:1;category_correction:2,auto_high_confidence:3,file-level summary aggregated from instance-level refinement records
test,00199,test/00199.txt,IR|RGB,0,0,5,car,OBB_adjustment:5,needs_review:5,file-level summary aggregated from instance-level refinement records
test,00200,test/00200.txt,IR|RGB,0,0,2,car,OBB_adjustment:2,needs_review:2,file-level summary aggregated from instance-level refinement records
test,00201,test/00201.txt,IR|RGB,0,0,4,car,OBB_adjustment:4,needs_review:4,file-level summary aggregated from instance-level refinement records
test,00202,test/00202.txt,IR|RGB,0,0,4,car|freight_car,OBB_adjustment:4,needs_review:4,file-level summary aggregated from instance-level refinement records
test,00205,test/00205.txt,IR|RGB,0,0,2,freight_car|truck,category_correction+OBB_adjustment:2,needs_review:2,file-level summary aggregated from instance-level refinement records
test,00206,test/00206.txt,IR|RGB,0,0,3,car,OBB_adjustment:3,needs_review:3,file-level summary aggregated from instance-level refinement records
test,00207,test/00207.txt,IR|RGB,0,0,4,car|truck,OBB_adjustment:4,needs_review:4,file-level summary aggregated from instance-level refinement records
test,00209,test/00209.txt,IR|RGB,0,0,2,car,OBB_adjustment:2,needs_review:2,file-level summary aggregated from instance-level refinement records
test,00210,test/00210.txt,IR|RGB,0,0,2,car,OBB_adjustment:2,needs_review:2,file-level summary aggregated from instance-level refinement records
test,00211,test/00211.txt,RGB,0,0,1,car,OBB_adjustment:1,auto_high_confidence:1,file-level summary aggregated from instance-level refinement records
test,00213,test/00213.txt,IR|RGB,0,0,3,car,OBB_adjustment:3,auto_high_confidence:1;needs_review:2,file-level summary aggregated from instance-level refinement records
test,00214,test/00214.txt,RGB,0,0,1,car,OBB_adjustment:1,needs_review:1,file-level summary aggregated from instance-level refinement records
test,00217,test/00217.txt,IR|RGB,0,0,2,car,OBB_adjustment:2,needs_review:2,file-level summary aggregated from instance-level refinement records
test,00218,test/00218.txt,RGB,0,0,1,car,OBB_adjustment:1,needs_review:1,file-level summary aggregated from instance-level refinement records
test,00223,test/00223.txt,IR|RGB,0,0,2,car,OBB_adjustment:2,needs_review:2,file-level summary aggregated from instance-level refinement records
test,00232,test/00232.txt,IR|RGB,0,0,2,freight_car|van,category_correction+OBB_adjustment:2,needs_review:2,file-level summary aggregated from instance-level refinement records
test,00234,test/00234.txt,IR|RGB,0,0,2,car|van,category_correction:2,auto_high_confidence:2,file-level summary aggregated from instance-level refinement records
test,00237,test/00237.txt,IR|RGB,0,0,7,car,OBB_adjustment:7,needs_review:7,file-level summary aggregated from instance-level refinement records
test,00239,test/00239.txt,IR|RGB,0,2,0,truck,removal:2,needs_review:2,file-level summary aggregated from instance-level refinement records
test,00240,test/00240.txt,IR|RGB,0,0,2,car,OBB_adjustment:2,needs_review:2,file-level summary aggregated from instance-level refinement records
